quarter,maxtempC,mintempC,avgtempC,rainMM,rain_days,maxwindspeedKmph,avgwindspeedKmph,avgwindgustKmph,visibilityKm,humidity,pressureMB,cloudcover,sun_hour,sun_days,uvindex,Yield
1,18.66666667,16.66666667,18,128.35,18.33333333,15.83333333,12.96666667,19.16666667,6,55.66666667,673.3333333,35,181.3333333,1,4.333333333,34000
2,19.33333333,17.33333333,18.66666667,141.75,19.66666667,10.46666667,7.833333333,11.46666667,6.333333333,54,673,26.33333333,232.6666667,0.666666667,4,15025
3,19.66666667,17.33333333,19,164.3666667,19,11.7,9.2,13.66666667,6.333333333,53.66666667,672.4333333,28.33333333,233,0.333333333,4,4192
4,19.33333333,17.33333333,18.66666667,117.2333333,17.33333333,12.4,9.533333333,14.13333333,6.333333333,54.33333333,672.9333333,23.66666667,238.3333333,0.333333333,4.666666667,45045
1,18.66666667,16.66666667,17.66666667,63.20333333,12.33333333,14.03333333,11.8,17.33333333,6.666666667,53.66666667,675.0333333,21.66666667,206,5,4,33372
2,20.33333333,17.66666667,19,32,11.66666667,12.06666667,9.733333333,14.03333333,6.666666667,52,673.7,16,242.3333333,5.666666667,4.666666667,14431
3,20.33333333,17.33333333,19.33333333,132.1666667,18.33333333,8.533333333,6.133333333,9.1,6,52,672.8333333,24.33333333,239.3333333,2,4,3021
4,20.33333333,17.33333333,19,189.4333333,18.66666667,8.966666667,6.666666667,9.933333333,6,53.33333333,672.2,28,226.3333333,0.333333333,4,55450
1,18.66666667,16.33333333,18,224.8866667,18.33333333,13.16666667,10.36666667,15.43333333,6,56,672.7666667,39.66666667,163.6666667,1,4,34082
2,19.66666667,17,19,113.74,13,11.26666667,8.533333333,12.26666667,6.333333333,53,672.7333333,25.33333333,230,5.666666667,4,19953
3,20,17.33333333,19,103.6433333,13.66666667,11.96666667,9.1,13.2,6.333333333,51.66666667,672.1333333,26,230.6666667,3.666666667,4,4350
4,20,17,18.66666667,176.2,18,10,7.6,11.33333333,6,54,672.5333333,29,224.6666667,1.333333333,4,71342
1,19.33333333,16.66666667,18,129.2533333,16.66666667,14.56666667,11.9,17.4,6,54,673,35.66666667,206,1,4.333333333,33289
2,20.33333333,17.33333333,19.33333333,142.4366667,17.66666667,9.6,7.366666667,10.56666667,6.333333333,51.33333333,672.8,21.66666667,240.3333333,2,4.333333333,23944
3,20.33333333,17.33333333,19,102.5833333,16.66666667,11.96666667,9.466666667,13.73333333,6.333333333,51.66666667,672.0666667,24.33333333,233.3333333,1.666666667,4,3820
4,19.66666667,17,18.66666667,144.7333333,17.33333333,12.86666667,10.16666667,15.03333333,6,53.66666667,672.9,29.33333333,226,0.666666667,4.666666667,73002
1,19,16.66666667,18,120.6333333,16,16.06666667,12.73333333,18.66666667,6,55,673.4666667,40.33333333,178,1.333333333,4.333333333,40169
