loc_id,year,month,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,rainMM,rainInches,rain_days,snow_cm,snow_days,maxwindspeedMiles,maxwindspeedKmph,avgwindspeedMiles,avgwindspeedKmph,avgwindgustMiles,avgwindgustKmph,visibilityKm,visibilityMiles,humidity,pressureMB,pressureInches,cloudcover,sun_hour,sun_days,uvindex
1,2009,1,28,82,25,77,27,80,152.26,5.99,28,0.0,0,14.5,23.4,11.9,19.1,17.6,28.4,9,5,84,1010.2,30.3,54,263.0,2,7
1,2009,2,28,82,25,77,27,80,232.79,9.16,27,0.0,0,15.0,24.1,12.3,19.8,18.1,29.1,9,5,83,1009.8,30.3,51,281.0,1,6
1,2009,3,29,84,25,78,28,82,80.10,3.15,23,0.0,0,11.8,19.0,9.4,15.2,13.6,21.9,10,6,80,1010.9,30.3,27,368.0,6,6
1,2009,4,29,85,26,79,28,83,197.90,7.79,28,0.0,0,9.9,15.9,7.6,12.2,10.9,17.6,10,5,80,1009.8,30.3,37,347.0,2,6
1,2009,5,29,84,26,79,28,83,227.35,8.95,31,0.0,0,9.6,15.5,7.1,11.3,10.4,16.8,9,5,82,1009.2,30.3,42,351.0,0,6
1,2009,6,30,86,26,79,29,84,185.30,7.30,30,0.0,0,10.6,17.1,7.8,12.6,11.5,18.5,9,5,78,1009.5,30.3,35,353.0,0,6
1,2009,7,29,85,26,79,28,83,310.80,12.24,30,0.0,0,10.2,16.4,7.9,12.8,11.8,19.0,9,5,81,1008.8,30.3,46,347.0,0,6
1,2009,8,30,86,26,80,29,84,182.30,7.18,27,0.0,0,11.6,18.7,9.2,14.8,13.7,22.0,10,5,80,1008.5,30.3,39,352.0,1,6
1,2009,9,30,85,26,79,28,83,113.90,4.48,28,0.0,0,13.9,22.4,11.0,17.6,16.1,25.9,9,5,79,1008.5,30.3,48,319.0,1,6
1,2009,10,29,85,26,79,28,82,208.60,8.21,26,0.0,0,11.6,18.7,8.6,13.8,12.8,20.6,9,5,81,1009.5,30.3,37,361.0,1,7
1,2009,11,29,84,26,79,28,82,143.10,5.63,26,0.0,0,11.5,18.5,9.2,14.8,13.5,21.8,10,5,82,1009.3,30.3,34,354.0,0,7
1,2009,12,28,82,25,77,27,80,95.70,3.77,23,0.0,0,13.0,21.0,10.5,16.9,15.4,24.7,10,6,81,1011.4,30.3,34,350.0,3,6
1,2010,1,28,82,25,77,26,80,163.40,6.43,25,0.0,0,14.1,22.6,11.7,18.9,17.3,27.8,10,5,83,1012.0,30.4,46,291.0,4,6
1,2010,2,28,83,25,77,27,81,26.21,1.03,12,0.0,0,12.1,19.5,10.3,16.5,15.1,24.2,10,6,78,1013.1,30.4,19,327.0,11,6
1,2010,3,29,84,25,78,28,82,92.30,3.63,15,0.0,0,12.3,19.7,9.8,15.7,14.0,22.6,10,6,78,1012.2,30.4,20,363.0,8,6
1,2010,4,30,85,26,79,28,83,34.40,1.35,16,0.0,0,12.2,19.6,9.7,15.6,13.9,22.4,10,6,79,1011.7,30.3,23,360.0,10,7
1,2010,5,31,87,27,80,29,85,61.60,2.43,19,0.0,0,10.3,16.6,8.4,13.6,12.2,19.7,10,6,77,1009.4,30.3,25,367.0,7,7
